No,Lokasi Aset,Koordinat,Jenis Lampu,Daya (Watt),Kondisi Lampu,Panjang Tiang,Jenis Tiang,Kondisi Tiang,Panjang Stang,Kondisi Stang
1,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.988627, 107.650381",LED COBRA,50 W,NYALA,,,,2 M,KARAT
2,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.988970, 107.650390",LED COBRA,50 W,NYALA,,,,2 M,KARAT
3,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989279, 107.650311",LED COBRA,50 W,NYALA,,,,2 M,KARAT
4,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989487, 107.650214",LED COBRA,50 W,NYALA,,,,2 M,KARAT
5,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989539, 107.650466",LED COBRA,50 W,NYALA,,,,2 M,KARAT
6,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989867, 107.650371",LED COBRA,50 W,NYALA,,,,2 M,KARAT
7,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989774, 107.650107",LED COBRA,50 W,NYALA,,,,2 M,KARAT
8,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990031, 107.650414",LED COBRA,50 W,NYALA,,,,2 M,KARAT
9,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990150, 107.650682",LED COBRA,50 W,NYALA,,,,2 M,KARAT
10,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990452, 107.650683",LED COBRA,50 W,NYALA,,,,2 M,KARAT
11,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990542, 107.650851",LED COBRA,50 W,NYALA,,,,2 M,KARAT
12,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.989966, 107.649463",LED COBRA,50 W,NYALA,,,,2 M,KARAT
13,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990745, 107.650575",LED COBRA,50 W,NYALA,,,,2 M,KARAT
14,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990820, 107.650795",LED COBRA,50 W,NYALA,,,,2 M,KARAT
15,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.990727, 107.650296",LED COBRA,50 W,NYALA,,,,2 M,KARAT
16,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.991120, 107.650550",LED COBRA,50 W,NYALA,,,,2 M,KARAT
17,"BUMI KARA RESIDENCE, BOJONGSOANG","-6.991158, 107.650723",LED COBRA,50 W,NYALA,,,,2 M,KARAT
